移,1353,1353,8709,名詞,固有名詞,地域,一般,*,*,移,ウツリ,ウツリ,3/3,C2
移,811,811,6663,動詞,自立,*,*,五段・ラ行,体言接続特殊２,移る,ウツ,ウツ,2/2,*
緯,1345,1345,5731,名詞,一般,*,*,*,*,緯,ヌキ,ヌキ,0/2,C3
緯,1345,1345,5748,名詞,一般,*,*,*,*,緯,ヨコイト,ヨコイト,1/4,C2
胃,1345,1345,5148,名詞,一般,*,*,*,*,胃,イ,イ,0/1,C3
萎,1345,1345,5743,名詞,一般,*,*,*,*,萎,アマドコロ,アマドコロ,0/5,C1
萎,649,649,6962,動詞,自立,*,*,一段,未然形,萎る,シオレ,シオレ,0/3,*
萎,649,649,6968,動詞,自立,*,*,一段,未然形,萎る,ナエ,ナエ,2/2,*
萎,652,652,6962,動詞,自立,*,*,一段,連用形,萎る,シオレ,シオレ,0/3,*
萎,652,652,6968,動詞,自立,*,*,一段,連用形,萎る,ナエ,ナエ,2/2,*
衣,1345,1345,5204,名詞,一般,*,*,*,*,衣,コロモ,コロモ,0/3,C2
衣,1345,1345,6247,名詞,一般,*,*,*,*,衣,キヌ,キヌ,1/2,C2
衣,1345,1345,6409,名詞,一般,*,*,*,*,衣,ギヌ,ギヌ,0/2,C2
衣,1345,1345,6840,名詞,一般,*,*,*,*,衣,イ,イ,1/1,C2
衣,1350,1350,7208,名詞,固有名詞,人名,姓,*,*,衣,コロモ,コロモ,0/3,C2
謂,1345,1345,6371,名詞,一般,*,*,*,*,謂,イイ,イー,1/2,C3
違,649,649,8720,動詞,自立,*,*,一段,未然形,違る,タガエ,タガエ,3/3,*
違,652,652,8720,動詞,自立,*,*,一段,連用形,違る,タガエ,タガエ,3/3,*
遺,811,811,6930,動詞,自立,*,*,五段・ラ行,体言接続特殊２,遺る,ノコ,ノコ,2/2,*
医,1345,1345,6680,名詞,一般,*,*,*,*,医,イ,イ,1/1,C3
医,1358,1358,8576,名詞,接尾,一般,*,*,*,医,イ,イ,1/1,C3
井,1345,1345,7166,名詞,一般,*,*,*,*,井,イ,イ,1/1,C3
亥,1345,1345,6369,名詞,一般,*,*,*,*,亥,イ,イ,0/1,C3
亥,1353,1353,9183,名詞,固有名詞,地域,一般,*,*,亥,イ,イ,1/1,C3
域,1345,1345,7778,名詞,一般,*,*,*,*,域,イキ,イキ,1/2,C3
育,1351,1351,8639,名詞,固有名詞,人名,名,*,*,育,イク,イク,1/2,C3
育,649,649,7793,動詞,自立,*,*,一段,未然形,育る,ソダテ,ソダテ,3/3,*
育,652,652,7793,動詞,自立,*,*,一段,連用形,育る,ソダテ,ソダテ,3/3,*
郁,1351,1351,8606,名詞,固有名詞,人名,名,*,*,郁,イク,イク,1/2,C3
郁,1351,1351,8643,名詞,固有名詞,人名,名,*,*,郁,ユウ,ユー,1/2,C3
磯,1345,1345,6395,名詞,一般,*,*,*,*,磯,イソ,イソ,0/2,C3
磯,1350,1350,9001,名詞,固有名詞,人名,姓,*,*,磯,イソ,イソ,0/2,C3
磯,1353,1353,9685,名詞,固有名詞,地域,一般,*,*,磯,イソ,イソ,0/2,C3
一,1351,1351,12923,名詞,固有名詞,人名,名,*,*,一,マコト,マコト,2/3,C2
一,1351,1351,9732,名詞,固有名詞,人名,名,*,*,一,ハジメ,ハジメ,2/3,C2
一,1353,1353,12362,名詞,固有名詞,地域,一般,*,*,一,カズ,カズ,2/2,C3
一,1355,1355,3063,名詞,数,*,*,*,*,一,イチ,イチ,2/2,C3
壱,1345,1345,6002,名詞,一般,*,*,*,*,壱,イチ,イチ,2/2,C3
逸,1343,1343,5592,名詞,サ変接続,*,*,*,*,逸,イッ,イッ,1/2,C3
逸,1351,1351,2210,名詞,固有名詞,人名,名,*,*,逸,イチ,イチ,1/2,C1
逸,1351,1351,8920,名詞,固有名詞,人名,名,*,*,逸,イツ,イツ,1/2,C3
逸,649,649,6969,動詞,自立,*,*,一段,未然形,逸る,ハグレ,ハグレ,1/3,*
逸,652,652,6969,動詞,自立,*,*,一段,連用形,逸る,ハグレ,ハグレ,1/3,*
逸,811,811,7118,動詞,自立,*,*,五段・ラ行,体言接続特殊２,逸る,ハヤ,ハヤ,1/2,*
稲,1345,1345,4131,名詞,一般,*,*,*,*,稲,イネ,イネ,1/2,C1
稲,1345,1345,6985,名詞,一般,*,*,*,*,稲,イナ,イナ,1/2,C3
稲,1348,1348,9143,名詞,固有名詞,一般,*,*,*,稲,イチ,イチ,1/2,C3
稲,1353,1353,9920,名詞,固有名詞,地域,一般,*,*,稲,イナ,イナ,1/2,C3
茨,1345,1345,5878,名詞,一般,*,*,*,*,茨,イバラ,イバラ,0/3,C2
芋,1345,1345,5665,名詞,一般,*,*,*,*,芋,イモ,イモ,2/2,C3
鰯,1345,1345,5743,名詞,一般,*,*,*,*,鰯,イワシ,イワシ,0/3,C2
允,1351,1351,9819,名詞,固有名詞,人名,名,*,*,允,マコト,マコト,0/3,C2
印,1345,1345,5026,名詞,一般,*,*,*,*,印,シルシ,シルシ,0/3,C2
印,1345,1345,6670,名詞,一般,*,*,*,*,印,イン,イン,1/2,C2
印,1348,1348,9832,名詞,固有名詞,一般,*,*,*,印,イン,イン,0/2,C2
印,1358,1358,10143,名詞,接尾,一般,*,*,*,印,ジルシ,ジルシ,1/3,C2
印,1358,1358,9911,名詞,接尾,一般,*,*,*,印,イン,イン,1/2,C3
咽,1345,1345,5519,名詞,一般,*,*,*,*,咽,ノド,ノド,1/2,C3
咽,1345,1345,5885,名詞,一般,*,*,*,*,咽,ノンド,ノンド,1/3,C2
